Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.76    0.00    0.40    0.34    0.00   98.50

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           17.31    252.32     0.00   0.00    0.16    14.58   14.06    103.75     0.00   0.00    4.10     7.38    0.00      0.00     0.00   0.00    0.00     0.00    3.55   15.77    0.12   5.91
loop1            2.04     25.54     0.00   0.00    0.06    12.54    1.02      3.72     0.00   0.00    0.28     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.15    1.49    0.00   0.05
loop10           0.55      5.18     0.00   0.00    0.12     9.40    0.30      1.09     0.00   0.00    0.44     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.46    0.00   0.02
loop11           0.47      4.25     0.00   0.00    0.21     9.00    0.27      0.99     0.00   0.00    0.45     3.63    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.77    0.00   0.02
loop12           0.36      3.41     0.00   0.00    0.13     9.44    0.21      0.78     0.00   0.00    0.48     3.64    0.00      0.00     0.00   0.00    0.00     0.00    0.03    3.20    0.00   0.01
loop13           0.22      1.84     0.00   0.00    0.03     8.35    0.14      0.50     0.00   0.00    0.47     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.02    3.64    0.00   0.01
loop14           0.15      1.26     0.00   0.00    0.06     8.33    0.10      0.36     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.07      0.53     0.00   0.00    0.12     7.30    0.05      0.18     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.00    3.70    0.00   0.00
loop2            1.79     23.02     0.00   0.00    0.07    12.83    0.90      3.31     0.00   0.00    0.30     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.13    1.63    0.00   0.04
loop3            1.58     17.29     0.00   0.00    0.09    10.94    0.81      2.96     0.00   0.00    0.31     3.64    0.00      0.00     0.00   0.00    0.00     0.00    0.12    1.69    0.00   0.04
loop4            1.34     14.41     0.00   0.00    0.09    10.79    0.68      2.48     0.00   0.00    0.34     3.63    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.77    0.00   0.03
loop5            1.14     13.24     0.00   0.00    0.13    11.61    0.59      2.13     0.00   0.00    0.35     3.61    0.00      0.00     0.00   0.00    0.00     0.00    0.09    1.82    0.00   0.03
loop6            0.94     10.25     0.00   0.00    0.12    10.85    0.49      1.75     0.00   0.00    0.38     3.58    0.00      0.00     0.00   0.00    0.00     0.00    0.08    1.84    0.00   0.03
loop7            0.79      7.78     0.00   0.00    0.14     9.80    0.41      1.46     0.00   0.00    0.40     3.56    0.00      0.00     0.00   0.00    0.00     0.00    0.07    1.91    0.00   0.02
loop8            0.69      6.94     0.00   0.00    0.15    10.06    0.36      1.27     0.00   0.00    0.40     3.54    0.00      0.00     0.00   0.00    0.00     0.00    0.06    1.90    0.00   0.02
loop9            0.58      5.60     0.00   0.00    0.20     9.64    0.31      1.11     0.00   0.00    0.43     3.56    0.00      0.00     0.00   0.00    0.00     0.00    0.05    2.20    0.00   0.02
sda              0.67     21.33     0.25  26.95    0.27    32.03   77.57  29056.65   123.80  61.48   12.00   374.59    0.71   3546.47     0.00   0.00    0.17  4988.79    0.00    0.00    0.93   6.11
sdb              0.01      0.21     0.00   0.00    0.24    15.26    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.06    0.00    3.19    0.00    0.00   96.75

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop13           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop14           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop15           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
