Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.77    0.00    0.42    0.36    0.00   98.46

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           17.93    255.12     0.00   0.00    0.13    14.23   16.22    118.71     0.00   0.00    3.72     7.32    0.00      0.00     0.00   0.00    0.00     0.00    4.07   14.37    0.12   6.17
loop1            2.15     26.02     0.00   0.00    0.06    12.11    1.15      4.26     0.00   0.00    0.30     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.14    1.87    0.00   0.05
loop10           0.66      6.12     0.00   0.00    0.12     9.33    0.36      1.31     0.00   0.00    0.44     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.05    2.54    0.00   0.02
loop11           0.57      5.16     0.00   0.00    0.21     9.00    0.33      1.20     0.00   0.00    0.45     3.63    0.00      0.00     0.00   0.00    0.00     0.00    0.04    2.77    0.00   0.02
loop12           0.44      4.14     0.00   0.00    0.13     9.44    0.26      0.94     0.00   0.00    0.48     3.64    0.00      0.00     0.00   0.00    0.00     0.00    0.03    3.20    0.00   0.02
loop13           0.27      2.24     0.00   0.00    0.03     8.35    0.17      0.61     0.00   0.00    0.47     3.66    0.00      0.00     0.00   0.00    0.00     0.00    0.02    3.64    0.00   0.01
loop14           0.18      1.52     0.00   0.00    0.06     8.33    0.12      0.44     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.09      0.64     0.00   0.00    0.12     7.30    0.06      0.22     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.99     25.20     0.00   0.00    0.07    12.66    1.05      3.88     0.00   0.00    0.31     3.68    0.00      0.00     0.00   0.00    0.00     0.00    0.13    1.88    0.00   0.05
loop3            1.77     19.01     0.00   0.00    0.10    10.74    0.95      3.48     0.00   0.00    0.32     3.67    0.00      0.00     0.00   0.00    0.00     0.00    0.12    1.93    0.00   0.04
loop4            1.52     16.14     0.00   0.00    0.10    10.64    0.80      2.93     0.00   0.00    0.34     3.65    0.00      0.00     0.00   0.00    0.00     0.00    0.11    1.98    0.00   0.04
loop5            1.33     15.30     0.00   0.00    0.13    11.55    0.70      2.54     0.00   0.00    0.35     3.62    0.00      0.00     0.00   0.00    0.00     0.00    0.10    1.96    0.00   0.03
loop6            1.09     11.67     0.00   0.00    0.13    10.74    0.58      2.07     0.00   0.00    0.39     3.60    0.00      0.00     0.00   0.00    0.00     0.00    0.09    2.00    0.00   0.03
loop7            0.93      9.02     0.00   0.00    0.15     9.70    0.49      1.75     0.00   0.00    0.41     3.57    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.03    0.00   0.03
loop8            0.80      7.92     0.00   0.00    0.16     9.91    0.42      1.51     0.00   0.00    0.41     3.56    0.00      0.00     0.00   0.00    0.00     0.00    0.07    2.05    0.00   0.02
loop9            0.69      6.62     0.00   0.00    0.20     9.57    0.37      1.33     0.00   0.00    0.43     3.57    0.00      0.00     0.00   0.00    0.00     0.00    0.06    2.27    0.00   0.02
sda              0.81     25.87     0.30  26.96    0.27    32.04   81.05  30359.98   144.29  64.03   12.01   374.56    0.86   4302.60     0.00   0.00    0.17  4988.79    0.00    0.00    0.97   6.39
sdb              0.02      0.26     0.00   0.00    0.23    15.64    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.16    0.00    0.00   96.84

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
