Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.62    0.00    0.31    0.27    0.00   98.80

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           13.88    196.11     0.00   0.00    0.14    14.13   17.58    129.85     0.00   0.00    2.57     7.39    0.00      0.00     0.00   0.00    0.00     0.00    4.29   10.08    0.09   4.61
loop1            2.08     24.92     0.00   0.00    0.06    11.98    1.19      4.46     0.00   0.00    0.31     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.12    2.44    0.00   0.05
loop10           0.54      4.21     0.00   0.00    0.13     7.82    0.35      1.29     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.47    0.00   0.02
loop11           0.50      4.00     0.00   0.00    0.25     7.98    0.33      1.21     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.40      3.15     0.00   0.00    0.14     7.83    0.26      0.97     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.01
loop13           0.27      2.09     0.00   0.00    0.03     7.83    0.17      0.65     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.20      1.67     0.00   0.00    0.06     8.33    0.13      0.48     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.10      0.71     0.00   0.00    0.12     7.30    0.07      0.24     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.87     21.18     0.00   0.00    0.07    11.33    1.07      4.03     0.00   0.00    0.32     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.53    0.00   0.04
loop3            1.66     17.15     0.00   0.00    0.10    10.34    0.96      3.60     0.00   0.00    0.34     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.65    0.00   0.04
loop4            1.38     13.86     0.00   0.00    0.10    10.02    0.80      3.01     0.00   0.00    0.37     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.81    0.00   0.04
loop5            1.17     13.11     0.00   0.00    0.14    11.18    0.69      2.57     0.00   0.00    0.38     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.07    2.97    0.00   0.03
loop6            0.92      9.23     0.00   0.00    0.14     9.99    0.56      2.07     0.00   0.00    0.42     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.06    3.20    0.00   0.03
loop7            0.75      6.05     0.00   0.00    0.18     8.10    0.46      1.72     0.00   0.00    0.46     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.61    0.00   0.02
loop8            0.60      4.71     0.00   0.00    0.20     7.81    0.39      1.45     0.00   0.00    0.46     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.04    4.08    0.00   0.02
loop9            0.53      4.18     0.00   0.00    0.26     7.84    0.35      1.29     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.25    0.00   0.02
sda              0.89     28.38     0.33  26.97    0.26    32.06   61.91  22620.68   143.26  69.83   11.73   365.38    0.95   4719.80     0.00   0.00    0.17  4988.79    0.00    0.00    0.73   4.82
sdb              0.02      0.28     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.19    0.00    0.00   96.78

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
