Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.64    0.00    0.33    0.28    0.00   98.75

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           14.49    204.78     0.00   0.00    0.14    14.13   17.33    127.81     0.00   0.00    2.74     7.38    0.00      0.00     0.00   0.00    0.00     0.00    4.25   10.73    0.10   4.85
loop1            2.09     25.00     0.00   0.00    0.06    11.97    1.18      4.42     0.00   0.00    0.31     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.12    2.33    0.00   0.05
loop10           0.53      4.14     0.00   0.00    0.13     7.82    0.34      1.27     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.47    0.00   0.02
loop11           0.49      3.94     0.00   0.00    0.25     7.98    0.32      1.19     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.40      3.10     0.00   0.00    0.14     7.83    0.26      0.95     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.01
loop13           0.26      2.06     0.00   0.00    0.03     7.83    0.17      0.64     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.20      1.64     0.00   0.00    0.06     8.33    0.13      0.48     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.10      0.69     0.00   0.00    0.12     7.30    0.06      0.24     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.89     22.16     0.00   0.00    0.07    11.70    1.07      4.00     0.00   0.00    0.32     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.41    0.00   0.04
loop3            1.68     17.58     0.00   0.00    0.10    10.44    0.96      3.57     0.00   0.00    0.34     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.51    0.00   0.04
loop4            1.41     14.37     0.00   0.00    0.10    10.16    0.81      3.00     0.00   0.00    0.36     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.09    2.63    0.00   0.04
loop5            1.21     13.61     0.00   0.00    0.14    11.28    0.69      2.57     0.00   0.00    0.37     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.74    0.00   0.03
loop6            0.96      9.87     0.00   0.00    0.14    10.25    0.56      2.08     0.00   0.00    0.42     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.06    2.89    0.00   0.03
loop7            0.79      6.67     0.00   0.00    0.17     8.46    0.47      1.73     0.00   0.00    0.45     3.69    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.19    0.00   0.02
loop8            0.65      5.35     0.00   0.00    0.19     8.28    0.40      1.46     0.00   0.00    0.45     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.53    0.00   0.02
loop9            0.54      4.29     0.00   0.00    0.25     7.98    0.34      1.28     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.08    0.00   0.02
sda              0.87     27.93     0.32  26.97    0.26    32.06   64.97  23799.90   143.38  68.82   11.76   366.33    0.93   4643.83     0.00   0.00    0.17  4988.79    0.00    0.00    0.76   5.06
sdb              0.02      0.28     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.16    0.00    0.00   96.84

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
