Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.62    0.00    0.32    0.27    0.00   98.79

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           14.03    198.92     0.00   0.00    0.14    14.18   17.51    129.34     0.00   0.00    2.62     7.39    0.00      0.00     0.00   0.00    0.00     0.00    4.28   10.24    0.09   4.67
loop1            2.08     24.92     0.00   0.00    0.06    11.97    1.18      4.45     0.00   0.00    0.31     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.12    2.41    0.00   0.05
loop10           0.54      4.19     0.00   0.00    0.13     7.82    0.34      1.28     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.47    0.00   0.02
loop11           0.50      3.99     0.00   0.00    0.25     7.98    0.32      1.21     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.56    0.00   0.02
loop12           0.40      3.14     0.00   0.00    0.14     7.83    0.26      0.96     0.00   0.00    0.51     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.83    0.00   0.01
loop13           0.27      2.08     0.00   0.00    0.03     7.83    0.17      0.65     0.00   0.00    0.48     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.02    4.66    0.00   0.01
loop14           0.20      1.66     0.00   0.00    0.06     8.33    0.13      0.48     0.00   0.00    0.46     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.01    4.51    0.00   0.01
loop15           0.10      0.70     0.00   0.00    0.12     7.30    0.07      0.24     0.00   0.00    0.43     3.70    0.00      0.00     0.00   0.00    0.00     0.00    0.01    3.70    0.00   0.00
loop2            1.88     21.28     0.00   0.00    0.07    11.35    1.07      4.03     0.00   0.00    0.32     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.11    2.50    0.00   0.04
loop3            1.66     17.26     0.00   0.00    0.10    10.37    0.96      3.59     0.00   0.00    0.34     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.10    2.61    0.00   0.04
loop4            1.39     13.98     0.00   0.00    0.10    10.05    0.80      3.01     0.00   0.00    0.36     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.08    2.76    0.00   0.04
loop5            1.18     13.24     0.00   0.00    0.14    11.20    0.69      2.57     0.00   0.00    0.38     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.07    2.91    0.00   0.03
loop6            0.93      9.37     0.00   0.00    0.14    10.05    0.56      2.08     0.00   0.00    0.42     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.06    3.12    0.00   0.03
loop7            0.76      6.21     0.00   0.00    0.17     8.19    0.46      1.72     0.00   0.00    0.45     3.71    0.00      0.00     0.00   0.00    0.00     0.00    0.05    3.49    0.00   0.02
loop8            0.61      4.87     0.00   0.00    0.20     7.93    0.39      1.45     0.00   0.00    0.46     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.04    3.93    0.00   0.02
loop9            0.53      4.17     0.00   0.00    0.26     7.84    0.35      1.28     0.00   0.00    0.49     3.72    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.25    0.00   0.02
sda              0.88     28.27     0.33  26.97    0.26    32.06   62.62  22909.81   143.05  69.55   11.74   365.86    0.94   4700.82     0.00   0.00    0.17  4988.79    0.00    0.00    0.74   4.88
sdb              0.02      0.28     0.00   0.00    0.23    16.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.16    0.00    0.00   96.81

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop13           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop14           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop15           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop4            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop5            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop8            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop9            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdb              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    0.91    9.60    0.00   89.45

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0          139.00   5541.00     0.00   0.00    0.07    39.86    0.00      4.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.01   1.20
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
